Brand;Line;Sub Line1;Sub Line2;Sub Line3
chicco;bravo;le;;
baby trend;;;;
gb;pockit;all-city;lightweight;
safety 1st;;;;
safety 1st;smooth;ride;travel;system
summer infant;3d;;;
gb;pockit;all-city;;
baby trend;expedition;jogger;;
evenflo;;;;
evenflo;pivot;;;
infans;newborn;;;
gb;pockit;;;
kolcraft;cloud;;;
gb;pockit;lightweight;;
chicco;bravo;trio;;
baby trend;cityscape;jogger;;
graco;modes;;;
graco;fastaction;fold;;
bob gear;snack;tray;single;jogging
baby trend;xcel;jogger;;
summer infant;;;;
thule;glide;;;
dream on me;coast;rider;;
bob gear;handlebar;console;;
gb;pockit;plus;;
baby trend;expedition;double;jogger;
joovy;zoom;360;ultralight;jogging
graco;ready2grow;;;
dream on me;coast;;;
delta children;jeep;classic;jogging;
baby trend;expedition;;;
baby jogger;city;mini;;
summer infant;3dlite;convenience;;
graco;jetsetter;ultra;compact;
infans;baby;;;
graco;modes;nest;;
summer infant;3dmini;convenience ;;
delta children;jeep;unlimited;;
baby trend;snap-n-go;;;
chicco;keyfit;caddy;frame;
baby trend;range;jogger;;
no_brand;disney;umbrella;;
disney;baby;;;
graco;;;;
doona;liki;trike;s3;
chicco;viaro;travel;system;
graco;fastaction;;;
baby jogger;city;select;;
baby trend;navigator;;;
disney;umbrella;;;
baby trend;pathway;35;jogger;travel
bob gear;alterrain;pro;jogging;
graco;travel;system;;
boppy;head;neck;support;
baby jogger;parent;console;;
evenflo;pivot;xpand;modular;
graco;nimblelite;;;
evenflo;pivot;xplore;all-terrain;
disney;amble;quad;travel;system
gb;;;;
baby trend;sit;n;stand;easy
baby trend;sky;view;;
disney jr t o t s;nursery;;;
loulou lollipop;color;block;silicone;
no_brand;lightweight;;;
dream on me;double;twin;;
baby jogger;child;tray;;
britax;b-agile;;;
baby trend;double;;;
maxi cosi;zelia;;;
britax;b-lively;lightweight;;
delta children;jeep;north;star;
dream on me;volgo;twin;umbrella;
graco;modes;click;connect;
delta children;jeep;;;
uppababy;vista;v2;;
cosco;umbrella;;;
chicco;bravo;;;
baby jogger;foot;muff;;
bob gear;revolution;;;
bob gear;alterrain;jogging;;
graco;breaze;click;connect;
uppababy;2018;minu;;
baby trend;tango;travel;system;
baby trend;navigator;double;jogger;
baby jogger;weather;shield;;
baby trend;sit;n;stand;ultra
hot mom;baby;;;
baby jogger;glider;board;;
maxi cosi;adorra;modular;;
joovy;scooter;x2;double;
delta children;jeep;scout;double;
joovy;zoom;x2;double;jogging
summer infant;3dpac;cs;;
uppababy;2018;g-luxe;;
joovy;caboose;too;;
cynebaby;infant;;;
chicco;viaro;quick-fold;;
uppababy;rumbleseat;;;
britax;b-free;;;
booyah strollers;double;;;
tiny wonders;lightweight;compact;;
uppababy;cozyganoosh;mesa;;
britax;b-clever;lightweight;;
baby jogger;city;tour;;
evenflo;pivot;xplore;;
baby joy;double;light-weight;;
graco;verb;;;
disney baby;smooth;ride;travel;system
maxi cosi;zelia;max;;
uppababy;;;;
graco;modes;duo;;
delta children;lx;;;
graco;modes;bassinet;;
wonderfold;multi-function;;;
baby trend;rocket;lightweight;;
jeep;side;by;side;
britax;b-lively;double;;
graco;jetsetter;;;
joovy;caboose;graphite;;
zoe;twin;luxestroller;lightweight;double
chicco;activ3;air;jogging;
chicco;bravofor2;standing;sitting;double
baby trend;tango;;;
chicco;tre;jogging;;
lascal;buggyboard;maxi;universal;ride-on
thule;spring;;;
baby jogger;maxi;cosi;be;safe
ergobaby;metro;lightweight;;
evenflo;vive;;;
comfy baby;!;universal;;
baby trend;skyview;travel;system;
baby jogger;bassinet;;;
uppababy;vista;rumbleseat;;
bob gear;rambler;jogging;;
baby joy;lightweight;;;
chicco;activ3;jogging;;
baby trend;skyview;;;
larktale;lightweight;;;
graco;breaze;lightweight;;
joovy;scooter;x2;;
veer;cruiser;next;generation;premium
chicco;shuttle;frame;;
baby trend;sit;n;stand;lightweight
joovy;caboose;ultralight;graphite;
doona;liki;trike;s5;
maclaren;quest;;;
maxi cosi;adorra;2;5-in-1;modular
baby trend;sit;n;stand;compact
baby joy;stroller;convertible;bassinet;sleeping
chicco;liteway;;;
baby trend;sit;n;stand;dx
britax;b-agile;lightweight;;
springbuds;baby;;;
uppababy;2018;vista;;
uppababy;cozyganoosh;mesa;stella;
delta children;jeep;powerglyde;plus;
zoe;twin;;;
baby jogger;city;go;;
summer infant;myria;;;
graco;click;connect;;
zoe;the;;;
