brand,model,color,line,productGroup,baseTitle
"Royal Gourmet","CC1830S","Black",,,"Royal Gourmet 30 BBQ Charcoal Grill and Offset Smoker 800 Square Inch cooking surface Outdoor for Camping Black CC1830S model"
"LANNEY","Hexagonal Smoker Tube +2 Hooks","Hexagon Tube+2Hooks",,,"Pellet Smoker Tube 12 Stainless Steel BBQ Wood for Cold Hot Smoking Portable Barbecue Smoke Generator Works with Electric Gas Charcoal Grill Smokers"
"LANNEY","Pellet Smoker Tube Hexagonal","Hexagonal",,,"Pellet Smoker Tube 12 Stainless Steel BBQ Wood for Cold Hot Smoking Portable Barbecue Smoke Generator Works with Electric Gas Charcoal Grill Smokers"
"Dyna-Glo","DGO1176BDC-D","Black",,,"Dyna-Glo Offset Charcoal Smoker"
"Weber","45010001","Black",,,"Weber Spirit II E-310 Grill"
"Weber","731001","Black",,,"Weber Smokey Mountain Cooker Charcoal Smoker"
"Hisencn",,"Induction Fan",,,"Hisencn Grill Kit Replacement Parts for Traeger Pellet Wood Grills"
"Masterbuilt","MB20070210","Black",,,
"Cuisinart","CGG-7400","Full Size Four-Burner Gas Grill",,,
"Dyna-Glo",,"Black",,,"Dyna-Glo Offset Charcoal Smoker"
"LANNEY",,"Square",,,"Pellet Smoker Tube 12 Stainless Steel BBQ Wood for Cold Hot Smoking Portable Barbecue Smoke Generator Works with Electric Gas Charcoal Grill Smokers"
"ISUMER","ISUMERBBQgrill003","Sliver",,,
"Flame King","YSN5LB","White",,,"Flame King Propane Tank Cylinder Great for Fire Pits Grills Heaters Overlanding White"
"Green Mountain Grills","DCWF","Green",,,
"George Foreman","GFO201R","Red",,,"George Foreman Indoor Outdoor Electric Grill"
"Techwood",,,,,
"LavaLock",,"charcoal",,,"LavaLock Self Stick BBQ Gasket Grey High Temp Smoker Charcoal Grill Seal Factory Shorts"
"Masterbuilt","20101114","Smoker Leg Kit",,,"Masterbuilt Universal"
"Smokehouse","9900-000-0000","Silver",,,"Smokehouse Products Little Chief Load Smoker"
"Masterbuilt",,"black",,,"Masterbuilt Digital Electric Smoker MB20071117 Black 30 inch"
"Cuisinart","CCG-100","GrateLifter Charcoal Grill",,,"Cuisinart Charcoal Grill"
"Weber","14501001","Black",,,"14501001 Master Touch Charcoal Grill, 22 Inch,"
"Dyna-Glo",,,,,
"Masterbuilt","MB20071117","Black",,,"Masterbuilt Digital Electric Smoker MB20071117 Black 30 inch"
"Weber","45030001","Red",,,"Weber Spirit II E-310 Grill"
"Char-Broil","463375919","Stainless Steel",,,"Char-Broil 463375919 Performance Stainless Steel 4-Burner Cabinet Style Liquid Propane Gas Grill"
"Masterbuilt","MB20073519","Black",,,"Masterbuilt Bluetooth Digital Electric Smoker"
"LIZZQ","AMNTS12","Stainless Steel 304",,,"LIZZQ Premium Pellet Smoker Tube 12 inches 5 Hours of Billowing Smoke for Any Grill or Hot Cold Smoking and Free eBook Grilling Ideas Recipes"
"Char-Broil","20602107-01","Blue",,,"Char-Broil Patio Bistro TRU-Infrared Electric Grill"
"Mazonia","B07CNGH41D","Silver",,,"Portable Infusion Smoker Gun For Kitchen Indoor/Outdoor For Meat, Sous Vide, Grill, BBQ, Cocktail Drinks And Cheese. Uses Real Wood Chips Gold"
"Smokehouse","9890-000-0000","Silver",,,"Smokehouse Products Big Chief Load Smoker Silver"
"Weber","44010001","Black",,,"Weber Spirit II E-210"
"Fire Sense","60450","Multicolor",,,"Fire Sense Yakatori Charcoal Grill"
"Dyna-Glo",,,,,"Dyna-Glo"
"Char-Broil",,"Stainless Steel",,,"Char-Broil 463377319 Performance 4-Burner Cart Style Liquid Propane Gas Grill Stainless Steel"
"Weber","721001","Black",,,"Weber Smokey Mountain Cooker Charcoal Smoker"
"Camerons","CAM-STS-244","Silver",,,
"Char-Broil",,,,,"Char-Broil TRU-Infrared Portable Grill2Go Gas Grill"
"Char-Broil","463377319","Stainless Steel",,,"Char-Broil 463377319 Performance 4-Burner Cart Style Liquid Propane Gas Grill Stainless Steel"
"Dyna-Glo","DGW1904BDP-D","Black",,,
"Royal Gourmet",,"black",,,"Royal Gourmet 30 BBQ Charcoal Grill and Offset Smoker 800 Square Inch cooking surface Outdoor for Camping Black CC1830S model"
"Char-Broil",,,,,"Char-Broil Classic 360 3-Burner Gas Grill"
"LANNEY",,"Hexagon Tube+Cleaning Brush+Hooks",,,"Pellet Smoker Tube 12 Stainless Steel BBQ Wood for Cold Hot Smoking Portable Barbecue Smoke Generator Works with Electric Gas Charcoal Grill Smokers"
"Masterbuilt","MB20074719","Stainless Steel",,,"Masterbuilt Bluetooth Digital Electric Smoker"
"Dyna-Glo","DGX780BDC-D","Black",,,
"Techwood",,,,,"Electric BBQ Grill Techwood 15-Serving Indoor Outdoor for Use Portable 1600W"
"Masterbuilt",,"black",,,"Masterbuilt Bluetooth Digital Electric Smoker"
"OutdoorGears",,,,,"Pellet Smoker Tube 12 Steel BBQ Wood for Cold Or Hot Smoking Generator Electric Gas Charcoal Grill Smokers Food Tong"
"Weber","50060001","Chrome",,,
"Char-Broil",,,,,
"Char-Griller",,"Graphite",,,"Char-Griller AKORN Kamado Charcoal Grill"
"Napoleon","P665RSIBNK","Black",,,"Napoleon Prestige"
"Char-Griller","E56714","Sapphire Blue",,,"Char-Griller Charcoal Grill"
"Weber","61016001","Black",,,"Weber II Grill"
"Dyna-Glo",,"Black",,,"Dyna-Glo Offset Charcoal Smoker"
"Cuisinart","CMC-262","Meat Pulling/Shredding Claws",,,"Cuisinart"
"Cuisinart","CGG-059","Grillster 8,000 BTU Portable Gas Grill",,,"Cuisinart Gas Grill"
"Char-Broil",,"Stainless Steel",,,"Char-Broil 463377319 Performance 4-Burner Cart Style Liquid Propane Gas Grill Stainless Steel"
"Megamaster","820-0033M","Stainless Steel",,,
"Yosuper",,,,,
"Masterbuilt",,"black",,,"Masterbuilt Bluetooth Digital Electric Smoker"
"Weber","61006001","Stainless Steel",,,"Weber II Grill"
"Char-Broil",,,,,"Char-Broil Performance 2-Burner Cabinet Gas Stainless"
