brand,model,color,line,productGroup,baseTitle
"Briggs & Stratton","1022ER",,,,"Briggs Stratton 22-Inch Snow with"
"Briggs & Stratton",,,,,
"Briggs & Stratton","1530MDS",,,,"Briggs Stratton"
"Champion Power Equipment","100536","Electric Start",,,"Champion Power Equipment 2-Stage Gas Snow Blower with Electric Start"
"Earthwise","SN74022","4.0AH Battery & Charger included",,,"Earthwise"
"Craftsman","31AS2M5E793","Liberty Red",,,"Craftsman Gas Snow Thrower 21 Liberty Red"
"VacuuMParts",,,,,
"Greenworks","SN40B00","SN40B00",,,
"Champion Power Equipment","100679","Electric Start",,,"Champion Power Equipment 2-Stage Gas Snow Blower with Electric Start"
"Ariens",,,,,
"PowerSmart","PSS2240-X","Red and black",,,"PowerSmart Snow Blower 212cc Gas 2-Stage Electric Start Color Red and Black"
"PowerSmart","PSS2260L","Red, Black",,,
"PowerSmart",,"Red and Black",,,"PowerSmart Snow Blower 212cc Gas 2-Stage Electric Start Color Red and Black"
"Champion Power Equipment","100535","Electric Start",,,"Champion Power Equipment 2-Stage Gas Snow Blower with Electric Start"
"Briggs & Stratton","1696715","black/red",,,"Briggs Stratton 22-Inch Snow with"
"Briggs & Stratton","1696610","Black",,,"Briggs Stratton Dual-Stage Snow with and"
"Snow Joe",,,,,"Snow Joe SJ625E Electric Single Stage Thrower 21-Inch 15 Amp"
"RYOBI","RY40860",,,,
"Snow Joe","SJ621","Black",,,
"PowerSmart","DB2401","Black",,,
"Snow Joe","24V-X2-20SB-CT","Tool Only",,,"Snow Joe 48-Volt iON Cordless Blower 20-Inch"
"Honda","HS720AA",,,,
"Earthwise","SN74018",,,,
"Toro","38472",,,,
"Snow Joe","24V-X2-SB18","(2x4.0AH)",,,"Snow Joe 48-Volt iON Cordless Blower 18-Inch"
"MOTOALL",,,,,
"Snow Joe","SJ620","Black",,,
"Camillaxdlf",,,,,"Snow Blower, 13 Amp Snow Thrower, Steel Auger, Sweep Width 18 , Clearing Depth 7 , Overload Protection, 180° Rotatable Chute"
"Snow Joe","ION100V-21SB-CT","Tool Only",,,"Snow Joe Cordless Snowblower"
"SuperHandy",,,,,
"Ariens","932050",,,,
"Earthwise",,,,,"Earthwise Cordless Electric Snow"
"Snow Joe","ION18SB-RM","Blue",,,"Snow Joe Cordless Blower"
"Greenworks","SN40B410","SN40B410",,,
"Snow Joe",,"(2x4.0AH)",,,"Snow Joe 24V-X2-SB18 18-Inch 48-Volt 4-Ah Cordless Blower"
"Ariens","921048","Orange",,,
"Unknown",,,,,
"Ariens","920028",,,,
"POWERWORKS","SS60L00","SS60L00",,,"POWERWORKS 60V Brushless Snow"
"Greenworks",,,,,
"TORO","38473",,,,
"Ariens",,,,,
"Ariens",,,,,
"YARDMAX","YB7565","Orange",,,"YARDMAX Two-Stage Snow Blower"
"POWERWORKS","SN60L00",,,,"POWERWORKS 60V Brushless Snow"
"ARMORskids",,,,,
"Snow Joe",,"(2x4.0AH)",,,"Snow Joe 24V-X2-SB18 18-Inch 48-Volt 4-Ah Cordless Blower"
"VacuuMParts",,,,,
"Briggs & Stratton","1696619",,,,"Briggs Stratton Dual-Stage Snow with and"
"WORX","WG650","Orange",,,
"Craftsman","31A-2M1E793","Liberty Red",,,"Craftsman Gas Snow Thrower 21 Liberty Red"
"Homegear","US-ZESB-1000","Green",,,
"Briggs & Stratton","1696614","Black",,,"Briggs Stratton Dual-Stage Snow with and"
"EGO Power+",,,,,"EGO Power SNT2102 21-Inch 56-Volt Cordless Snow Blower with Peak Two 5.0Ah Batteries and Charger Included"
"Greenworks","2600502","Green",,,"20 Inch Corded Snow Thrower 2600502"
"S AFSTAR",,"Green",,,"S AFSTAR Electric Snow Shovel 12-Inch 9 Amp Corded with Adjustable Front Handle and Dual Safety Switch Thrower Removal Machine"
"Snow Joe","24V-X2-SB18-CT","Tool Only",,,"Snow Joe 48-Volt iON Cordless Blower 18-Inch"
"Snow Joe","SJ627E","Blue",,,"Snow Joe SJ627E 22-Inch Electric 15-Amp Thrower w Dual LED Lights"
"EGO Power+","SNT2100",,,,
"Carbhub",,,,,
"Greenworks","2600402","Green",,,
"Husqvarna","970468501",,,,
"Husqvarna",,,,,
"EGO Power+",,,,,
"Ariens","938033",,,,
