brand,model,color,line,productGroup,baseTitle
"Baby Trend","SG13105","Black",,"Baby Product","Baby Trend Snap-N-Go"
"Graco","2079879","Tansy",,,"Graco Verb Stroller"
"Baby Trend","WG01D14A","Ultra Black",,,"Baby Trend Expedition Stroller Wagon PLUS"
"Baby Trend","DX60701","Baltic",,,"Baby Trend Navigator Double Jogger Stroller"
"Dinky Ninky","0636823549909","Gold",,,"Stroller to Hook Muslin Sun Shade Canopy Car Seat Cover Clips Nursing Pram Toy Holder Blanket Clamp Best Baby Shower Registry Gift Buggy Accessory"
"Joovy","8268","Paprika",,,"Joovy Zoom"
"Summer Infant","32843","Jet Black",,"Baby Product","Summer 3Dlite Convenience Stroller Lightweight with Aluminum Frame Large Seat Area 4 Position Recline Extra Storage Basket Infant for Travel"
"Summer Infant","32723","3Dpac CS+",,"Baby Product",
"Baby Jogger","2084014","Black",,,"Baby Jogger"
"Baby Trend","ST21B80A","Petal",,,
"Safety 1st","TR378EEJ","Lake Blue",,,"Safety 1st Smooth Ride Travel System with onBoard 35 Infant Car Seat"
"Baby Trend","JG95203","Tiger Lily",,,"Baby Trend"
"Baby Trend","SS66773","Millennium",,,"Baby Trend Sit N Stand Stroller"
"Chicco","05079224960070","Latte",,"Baby Product","Chicco Bravo Trio Travel System"
"Baby Jogger","2084000","Black",,,
"BOB Gear","U221950","Lunar Black",,,"BOB Gear Revolution Flex 3.0 Jogging Stroller Smooth Ride Suspension Easy Fold Adjustable Handlebar Black New Logo"
"INFANS",,"Dark Grey",,,"INFANS Baby Newborn Stroller 2 in 1 High Landscape Convertible Reversible Bassinet Pram Foldable Aluminum Alloy Pushchair with Adjustable 3D"
"Baby Jogger","2082864","Jet",,,"Baby Jogger City Mini 2"
"Baby Jogger","11-26-057","Silver",,,
"Baby Jogger","1968629","City Premier Single",,,"Baby Jogger City Premier Child Tray Single Black"
"Kolcraft","KT010-SCR1","Scarlet",,"Baby Product",
"Baby Trend","TS89B00A","Leap Frog",,,"Baby Trend Travel System"
"Baby Trend","SS76522","Millennium Blue",,,"Baby Trend Sit Stand Double"
"BOB Gear","SN1001","Black",,,
"Baby Trend","DJ96715R","Elixer",,,"Baby Trend Expedition Double Jogger"
"Evenflo","560131993A","Sandstone",,,"Evenflo Pivot Modular Travel System with SafeMax Car Seat"
"BRITAX","S12777000","Cool Flow Teal",,,
"Kolcraft","KL029-SLA1","Slate Grey",,,"Kolcraft Cloud Plus Lightweight Stroller"
"WONDERFOLD","W4","Black",,,"WONDERFOLD W4 4 Seater Multi-Function Quad Stroller Wagon with Removable Raised Seats and Slidable Canopy"
"Evenflo","19132263","Wayfarer",,,
"BRITAX","S12776400",,,,
"Baby Trend","SS66068","Phantom",,"Baby Product",
"Chicco","07079664330070","Eucalyptus",,,"Chicco Mini Bravo Plus Lightweight Stroller"
"Keenz","7s","PURPLE",,,"Keenz Stroller Wagon 7S Pull Push Safe and Secure Baby Big Kids Versatile Ideal for Special Needs"
"Baby Joy","BB4943","Black",,,"BABY JOY Double Stroller Foldable Seat Tandem with Adjustable Backrest Push Handle and Footrest Lockable Wheels 5 Points Safety Belts"
"Delta Children","11601-007","Black",,"Baby Product",
"Chicco","00079135720070","Black",,,
"Thule","20201302","Silver",,,"Thule Chariot Jogging Kit Cross Lite"
"Baby Trend","SS80A31A","Merdian Hill",,"Baby Product",
"Graco",,"Clark",,,
"Graco","2065964","Black",,,
"Babyzen",,"Blue",,,"Babyzen YOYO Color Pack"
"kinbor",,"Black",,,"Kinbor Umbrella Stroller Lightweight with Fold Large Storage Basket and Adjustable"
"UPPAbaby","0920-CGN-WW-STL","Gray",,,
"Graco","2005306","Finn",,,
"Delta Children","12989-001","Black",,,
"mompush","P689","Silver",,,"Mompush Full-Size Standard Stroller One-Step Fold Full Size Front or Rear Facing Toddler Seat X-Large Easy-Access Basket Sleek Versatile"
"Cybex","521000689","Navy Blue",,,"Cybex Beezy Stroller"
"Foundations","4141339","Gray",,,"Foundations Quad Sport 4-Passenger Folding Stroller with Canopy"
"Booyah Strollers","Child II","Blue",,,"Booyah Strollers Child Baby Bike Bicycle Trailer and Stroller II"
"Graco","2048728","Nanette",,,"Graco Modes Travel System"
"Summer Infant","32873","Gray",,,"Summer Infant Convenience Stroller"
"Baby Trend","TS41227C","Coral Floral",,"Baby Product","Baby Trend Travel System"
"Kolcraft","KT011-BLK1","Red/Black",,"Baby Product",
"Graco","1934761","Gotham",,,"Graco FastAction Fold Jogger Travel System"
"Delta Children","33098-2277","Black with Grey",,,"Jeep North Star Stroller"
"Graco",,"Redmond",,,"Graco Modes Stroller Baby with Reversible Seat Extra Storage"
"Booyah Strollers",,"black",,"Baby Product",
"Baby Jogger","2084012",,,"Baby Product","Baby Jogger Board"
"gb","619000537","Velvet Black",,,
"UPPAbaby","0320-VIS-US-EMT/1017-MSA-US-JKE","Emmett",,,"UPPAbaby Vista V2 Stroller"
"Joovy","8111","Red",,,"Joovy Caboose Ultralight Graphite Stroller"
"Costzon","BB4758","Black",,,"Costzon Lightweight Baby Stroller Foldable with 5-Point Safety System and Multi Position Reclining Seat"
"WONDERFOLD","W4S 2.0","Charcoal Gray with White Frame",,,"WONDERFOLD W4S 2.0 Multi-Function 4 Passenger Folding Stroller Wagon Adjustable Canopy Reclining Seats with Magnetic Buckles and Vegan Leather Covered Handle Bar"
"Delta Children","14999-850","Galaxy",,,"Jeep Deluxe"
"Chicco","07079673970070","Q Collection",,"Baby Product","Chicco Activ3 Air Jogging Stroller"
"Thule","11300207","Grey Melange/Silver",,,"Thule Spring Stroller"
"BRITAX","S11251600","Vibe",,,"Britax B-Free Travel System with B-Safe Infant Car Seat"
"Evenflo","57112254A","Percheron",,"Baby Product",
"Baby Joy",,"Grey",,,"BABY JOY Double Light-Weight Stroller Travel Foldable Design Twin Umbrella with 5-Point Harness Cup Holder Sun Canopy for Toddlers"
"Disney","US124AFS1","Grey",,,"Umbrella Stroller with Canopy"
"BOB Gear","S12104700","Black",,,"BOB Gear Handlebar Console for Jogging Strollers"
"Graco",,,,"Baby Product",
"Baby Trend","TJ30509","Seaport",,,"Baby Trend Travel System"
"Graco","2111209","Belgrade",,"Baby Product","Graco Stroller"
"Baby Trend","TS40A48A","Hello Kitty Expressions",,,"Baby Trend Travel System"
"Summer Infant","32773","Matte Black/Blue",,,"Summer"
"Disney","TR342CZQ","Minnie Pop",,"Baby Product","Disney Amble Quad Travel System"
"Blahoo","808A","BLACK",,,"Blahoo Baby Stroller for Newborn 2 in1 High Landscape Foldable Aluminum Alloy Pushchair with Adjustable Backrest.Adjustable Awning Variable Seat and Recliner"
"Chicco","00079660460070","Midnight",,,"Chicco Mini Bravo Travel System"
"Baby Jogger","2104669","Jet",,"Baby Product","Baby Jogger Car Seat Adapter City Mini 2 Double Stroller GT2 Black"
"Evenflo","13812255","Stallion Black",,"Baby Product",
"Graco","1981664","Lake Green",,,"Graco Breaze"
"Evenflo","63012254","Percheron",,,"Evenflo Pivot Xpand Stroller Second Seat"
"Delta Children","11708-2271","Charcoal Galaxy",,"Baby Product","Scout Double Stroller"
"Baby Jogger","2083627","Jet",,"Baby Product","Baby Jogger City Select Seat Kit"
"Disney","US124DBZ","All About Minnie",,,"Disney Umbrella Stroller with Canopy"
"Graco","2052261","Shift",,,"Graco Modes Duo Stroller"
"Summer Infant","21853","Black/Gray",,,"Summer Convenience Stroller"
"Maclaren","WD1G043312","Denim/Indigo",,,"Maclaren Stroller- Lightweight and"
"Summer Infant","32693","Teal",,"Baby Product","Summer 3Dlite Convenience Stroller"
"Baby Jogger","2111986","Slate",,,"Baby Jogger City Mini GT2"
"gb","619000529","Velvet Black",,"Baby Product","Pockit Stroller"
"Graco","2047762","Merrick",,,"Graco Verb Travel System Stroller"
"Joovy","8060","Blueberry",,,"Joovy Zoom 360 Ultralight Jogging Stroller"
"Graco","2084432","Tessa",,,"Graco Fastaction Travel System"
"Baby Jogger","BJ91502","Black",,"Baby Product",
"Thule","10101926","Thule Blue",,,"Thule Urban Glide 2"
"Chicco","06079062950070","Black",,,"KeyFit Caddy Frame Stroller"
"Maxi-Cosi","TR389EMJA","Night Black",,,"Maxi-Cosi Zelia"
"Delta Children","12198-2012","Grey Tweed",,"Baby Product",
"BOB Gear","U181927","Black",,,"BOB Gear Rambler Jogging Stroller Smooth Ride Suspension Easy Fold XL Canopy Coverage, New Logo"
"BRITAX","S10404900","Black",,"Baby Product",
"Graco","2111198","Canter",,"Baby Product","Graco Modes Travel System Includes Baby Stroller with Reversible Seat and SnugRide 35 Infant Car"
"gb","619000539","Night Blue",,,
,,"Mickey Tuxedo",,,"Disney Umbrella Stroller"
"UPPAbaby","0518-GLX-US-JOR","Charcoal/Silver",,,"UPPAbaby G-Luxe Stroller"
"WONDERFOLD",,"Black",,,
"UPPAbaby","0420-CRZ-NA-HZL","Green",,,
"Baby Jogger","2014204","Black",,"Baby Product",
"Summer Infant","32923","Black/Heather Gray",,,"Stroller Black with"
"Chicco","04079747680070","Techna",,,"Chicco Viaro Travel System"
"Graco","2032497","Ellington",,,"Graco Uno2Duo Stroller"
"BRITAX","S08218700","Black",,"Baby Product",
"Baby Trend","SS76715","Elixer",,,"Baby Trend Sit N Stand Double Stroller"
"UPPAbaby","0320-VIS-US-HZL","Green",,,"UPPAbaby VISTA V2 Stroller"
"Baby Joy","BB5624","Beige",,,"BABY JOY Lightweight Stroller Easy Fold Toddler Travel Infant 5-Point Harness Adjustable Backrest Footrest Canopy Large Storage Basket One-Step Brake"
"Boppy","00060104060490","Grey",,,"Boppy Head Neck Support, Charcoal Heathered"
"Baby Jogger",,"Stoller and Pram",,,"Baby Jogger City Select Stroller Double"
"GoodBaby","616230001","Monument Black",,,"Gb Pockit"
"Baby Jogger","2082709","Mystic",,,"Baby Jogger City Go Car Seat"
"Baby Joy",,"Pink",,,"BABY JOY Lightweight Stroller Aluminum Umbrella Convenience Travel Foldable Design with Oxford Canopy 5-Point Harness Cup Holder Storage Basket"
"UPPAbaby","0918-RBS-US-LOC","White/Silver/Leather",,,
"Summer Infant","32853","Black",,,
"Costzon",,"Red",,,"Costzon Baby Stroller Pushchair"
"Baby Jogger",,"Charcoal",,,"Baby Jogger City Mini GT Travel System"
"Graco","1968354","Janey",,"Baby Product","Graco FastAction Fold Travel System Stroller"
"Baby Trend","CS79C81A","Gray",,,"Baby Trend Double Stroller Infant Car Seat"
"Baby Trend","BT03D40A","Black",,,
"Larktale","LK20014","Longreef Navy",,,"Larktale Lightweight Compact Coast Stroller"
"Dream On Me","452X-BLU","Blue",,,"Dream On Me Stroller"
"gb","616230013","Monument Black",,,"Pockit Stroller"
"Chicco","06079678100070","Black",,,
"Baby Trend","JG76D05A","Pink",,,"Baby Trend Expedition Race Tec Jogger"
"Ergobaby","METRO15US1",".Stroller 2020 Model: Black",,,"Ergobaby Metro Lightweight Baby Stroller"
"cynebaby","GOLDEN-S","Lycra Brown",,,
"UPPAbaby","0320-VIS-US-EMT","Green",,,
"Baby Jogger","2085466","Mystic",,,"Baby Jogger"
"DOONA",,"Racing Green",,,"Liki Trike S5"
"Baby Zen","BZ10208-02","Black",,,
"Maclaren","WD1G271352","Railroad Stripe",,,"Maclaren Quest arc Stroller- for Newborns to Hood seat Suspension. Accessories"
"Evenflo","56231975","Charcoal Gray",,,
"Baby Jogger","BJ90000","Black",,,
"Meinkind",,"Black",,,
"Joovy","8225","Paprika",,,"Joovy Kooper Stroller"
"AK Concepts",,,,,
"gb","616230037","Monument Black",,,"Pockit Stroller"
"Babideal",,"Blue",,,
"BRITAX","S934100","Navy",,,"Britax B-Ready Second Seat"
"Thule","20110742","Black",,,"Thule Bumper Bar Glide 2.0/Urban Glide 2.0 ,"
"Chicco","05079562710070","Sunset",,,"Chicco Liteway Stroller"
"Dream On Me","364-GRAY","Gray",,,"Dream On Me Coast Stroller Rider"
"INFANS",,"Orange",,,"INFANS Lightweight Baby Umbrella Stroller Foldable Infant Travel with Carry Belt 4 Position Recline Adjustable Backrest UV Protection Canopy Cup Holder Storage Basket"
"Graco","1992723","Grayson",,"Baby Product","Graco Modes Stroller"
"Joovy","9089",,,,
"Chicco","06079228220070","Coal",,,
"Delta Children","11701-026","Grey",,,"Delta Children LX Side by Stroller"
"Comfy Baby","920","Clear",,,
"Baby Jogger","2018830","Black",,,
"Joovy","8077","Black",,,"Joovy Scooter X2 Double Stroller"
"Baby Trend","TS04C87A","Moondust",,,"Baby Trend Tango"
"Graco","2083432","Pierce",,,"Graco Modes 3 Lite DLX"
"Baby Jogger","2011985","Black",,"Baby Product",
"Baby Trend","TJ75B74B","Optic Teal",,,"Baby Trend Travel System"
"Hamax",,"Red/Charcoal",,,"Hamax Outback One Seat Reclining Multi-Sport Child Bike Trailer Stroller Jogger Wheel Sold Separately"
"Baby Trend","ST21A21A","Princeton",,"Baby Product",
"Graco","2083434","Carlee",,,"Graco Modes Bassinet Travel System"
"Graco",,"Gotham",,"Baby Product",
"WONDERFOLD","X2","Black",,,"WonderFold"
"Delta Children","11458-001","Black",,,
"Kolcraft","KU022-SPR1","Spring Green",,,"Kolcraft Cloud Umbrella Stroller"
"BOB Gear","U991956","Olive",,,"BOB Gear Alterrain Jogging Stroller"
"Delta Children","11508-2013","Midnight Black",,,
"Baby Jogger","2049119","Mineral",,,
"Baby Joy","BB5636","Black",,,"BABY JOY Stroller 2 in 1 Convertible Carriage Bassinet to Pushchair with Foot Cover Cup Holder Large Storage Space Wheels Suspension 5-Point Harness"
"Chicco","06079648950070","Black",,,
"Babyzen",,"Black",,,
"Baby Trend",,"Magnolia",,,"Baby Trend Double Stroller Infant Car"
"UPPAbaby","0920-MCG-WW-STL","Gray",,,
"UPPAbaby","0818-MIN-US-DEV","DEVIN",,,"UPPAbaby MINU Stroller light grey/silver/chestnut leather"
"YIWANBA","BRGRBLU","Grey Blue",,,
"Chicco","06079662950070","Black",,,
"BRITAX","U741957","Vibe",,,
"Chicco","08079610160070","Grey",,,
"Cybex","521000475","Navy Blue",,,
"WONDERFOLD",,"Navy",,,
