brand,model,color,aid,title
UPPAbaby,0320-VIS-US-FIN,Blue,AIDB6VS72001,UPPAbaby VISTA V2 Stroller - FINN (deep sea/silver/chestnut leather)
UPPAbaby,0320-VIS-US-BRY,White,AIDOPWAA2001,UPPAbaby VISTA V2 Stroller - BRYCE (white marl/silver/chestnut leather)
UPPAbaby,0320-VIS-US-ALC,Pink,AIDKK7182001,UPPAbaby VISTA V2 Stroller - ALICE (dusty pink/silver/saddle leather)
UPPAbaby,0320-VIS-US-HZL,Green,AIDT9LCA2001,UPPAbaby VISTA V2 Stroller - HAZEL (olive/silver/saddle leather)
UPPAbaby,0320-VIS-US-BRY/1017-MSA-US-BRY,White,AID1N2DA2001,UPPAbaby Vista V2 Stroller - Bryce (White Marl/Silver/Chestnut Leather) + Mesa Infant Car Seat - Bryce (White Marl)
UPPAbaby,0320-VIS-US-FIN/1017-MSA-US-JKE,Finn,AIDXGD182001,UPPAbaby Vista V2 Stroller - Finn (Deep Sea/Silver/Chestnut Leather) + Mesa Infant Car Seat - Jake (Black)
UPPAbaby,0320-VIS-US-JKE/1017-MSA-US-JKE,Black,AID18VS72001,UPPAbaby Vista V2 Stroller - Jake (Black/Carbon/Black Leather) + Mesa Infant Car Seat - Jake (Black)
UPPAbaby,0920-CGN-WW-JOR,Gray,AID6JTM04001,UPPAbaby Cozyganoosh - Jordan (Charcoal Melange)
UPPAbaby,0518-GLX-US-JOR,Charcoal/Silver,AIDK37EB1001,2018 UPPAbaby G-Luxe Stroller - Jordan (Charcoal/Silver)
UPPAbaby,0320-VIS-US-JOR,Grey,AID8E4B12001,UPPAbaby VISTA V2 Stroller - JORDAN (charcoal/silver/black leather)
UPPAbaby,0920-MCG-WW-JKE,Gray,AIDIN3I04001,UPPAbaby Cozyganoosh for MESA & Mesa I-Size - Jake (Charcoal)
UPPAbaby,0818-MIN-US-DNY,Red Melange/Silver/Black Leather,AIDX6VS72001,2018 UPPAbaby MINU Stroller - Denny (Red Melange/Silver/Black Leather)
UPPAbaby,0320-VIS-US-EMT/1017-MSA-US-JKE,Emmett,AID382DA2001,UPPAbaby Vista V2 Stroller - Emmett (Green Melange/Silver/Saddle Leather) + Mesa Infant Car Seat - Jake (Black)
UPPAbaby,0320-VIS-US-JKE,Black,AIDSE4B12001,UPPAbaby VISTA V2 Stroller - JAKE (black/carbon/black leather)
UPPAbaby,0320-VIS-US-HZL/1017-MSA-US-JKE,Hazel,AIDDP1BA2001,UPPAbaby Vista V2 Stroller - Hazel (Olive/Silver/Saddle Leather) + Mesa Infant Car Seat - Jake (Black)
UPPAbaby,0518-GLX-US-ADN,Denim/Silver,AID837EB1001,2018 UPPAbaby G-Luxe Stroller -Aidan (Denim/Silver)
UPPAbaby,0618-GLT-US-JKE,Black/Carbon,AIDB37EB1001,2018 UPPAbaby G-LITE Stroller -Jake (Black/Carbon)
UPPAbaby,0318-VIS-US-SPS/1017-MSA-US-JKE,Spencer,AIDWCQDA2001,UPPAbaby Vista Stroller - Spenser (Grey&Yellow Tartan/Silver/Moss Leather) + MESA Infant Car Seat - Jake (Black)
UPPAbaby,0420-CRZ-NA-HZL,Green,AID9R8J02001,Cruz V2 Stroller - Hazel (Olive/Silver/Saddle Leather)
UPPAbaby,0252-JKE,Jake,AIDLU8U54001,"UPPAbaby RumbleSeat, Jake (Black)"
UPPAbaby,0320-VIS-US-JOR/1017-MSA-US-JOR,JORDAN,AIDF3OL72001,UPPAbaby Vista V2 Stroller - Jordan (Charcoal Melange/Silver/Black Leather) + Mesa Infant Car Seat - Jordan (Charcoal Melange) Merino Wool
UPPAbaby,0252-LSY,Lindsey,AIDF8VS72001,"UPPAbaby RumbleSeat, Lindsey (Wheat)"
UPPAbaby,0420-CRZ-NA-FIN,Blue,AIDBMGK72001,"UPPAbaby CRUZ V2 Stroller - FINN (deep sea/silver/chestnut leather), Blue"
UPPAbaby,0318-VIS-US-EMT,Green Melange/Silver/Leather,AIDP07EB1001,"2018 UPPAbaby VISTA Stroller, Emmett (Green Melange/Silver/Saddle Leather)"
UPPAbaby,0318-VIS-US-JOR,Charcoal Melange/Silver/Leather,AIDT5P9J1001,"2018 UPPAbaby VISTA Stroller, Jordan (Charcoal Melange/Silver/Black Leather)"
UPPAbaby,0920-CGN-WW-FIN,,AIDA4FT54001,UPPAbaby Cozyganoosh - Finn (Deep Sea)
UPPAbaby,0420-CRZ-NA-SRA,,AID4EM8Z3001,UPPAbaby Cruz V2 Stroller - Sierra (Dune Knit with Green & Blue/Silver/Black Leather)
UPPAbaby,0318-VIS-US-HEN,Blue Marl/Silver/Leather,AIDQ27EB1001,"2018 UPPAbaby VISTA Stroller, Henry (Blue Marl/Silver/Saddle Leather)"
UPPAbaby,0420-CRZ-NA-BRY/1017-MSA-US-BRY,White,AIDMLI374001,UPPAbaby Cruz V2 Stroller - Bryce (White Marl/Silver/Chestnut Leather) + Mesa Infant Car Seat - Bryce (White Marl)
UPPAbaby,0918-RBS-US-TAY,Indigo/Silver/Leather,AID2IP9J1001,UPPAbaby VISTA RumbleSeat - Taylor (Indigo/Silver/Saddle Leather)
UPPAbaby,0318-VIS-US-WIL,William,AIDWVKDC1001,UPPAbaby Vista Stroller - William (Chambray Oxford/Silver/Navy Leather)
UPPAbaby,0318-VIS-US-DNY,Red/Silver/Leather,AIDO07EB1001,"2018 UPPAbaby VISTA Stroller, Denny (Red/Silver/Black Leather)"
UPPAbaby,0618-GLT-US-DNY,Red/Silver,AID737EB1001,2018 UPPAbaby G-LITE Stroller- Denny (Red/Silver)
UPPAbaby,0417-CRZ-US-JKE,Jake,AIDDJ1QE1001,"UPPAbaby 2017 CRUZ Stroller, Jake"
UPPAbaby,,Gray,AID1N0I45001,UPPAbaby Vista V2 Stroller - Stella (Grey Brushed Melange/Silver/Chestnut Leather)
UPPAbaby,0918-RBS-US-LOC,White/Silver/Leather,AIDW17EB1001,2018 UPPAbaby Vista RumbleSeat - Loic (White/Silver/Saddle Leather)
