brand,model,color,aid,title
"Chicco","05079224960070","Latte","AIDYIX191001","Chicco Bravo LE Trio Travel System, Latte"
"Baby Trend",,"Phunk Plaid","AIDITXJ22001",
"Baby Trend","TS40B65B","Doodle Dots","AIDO3L3A1001",
"gb","620000125","Desert Night","AIDLS9CA2001","gb Pockit+ All-City Lightweight Stroller, Desert Night"
"Safety 1st","TR378EEJ","Lake Blue","AIDCJOE81001",
"Safety 1st","TR378EEL","Monument 2","AIDNSO591001","Safety 1st Smooth Ride Travel System with OnBoard 35 LT Infant Car Seat, Monument 2"
"Summer Infant","32873","Gray","AIDGOM512001","Summer Infant 3D Mini Convenience Stroller, Gray"
"Baby Trend","TS40A48A","Hello Kitty Expressions","AID7ACK72001",
"gb",,"Blue","AIDSQO534001","GB Pockit+ All-City Stroller - Night Blue"
"Baby Trend","JG94068R","Phantom","AID2HLI91001","Baby Trend Expedition Jogger Stroller, Phantom, 50 Pounds"
"Evenflo","56041990A","Casual Grey","AID7JBS81001",
"Evenflo","56012367","Salsa","AIDOBJ652001","Evenflo Pivot Modular Travel System with SafeMax Car Seat"
"INFANS",,"Light Grey","AIDH2NCA2001","INFANS Newborn Baby Stroller Carriage, 2 in 1 High Landscape Convertible Reversible Bassinet Pram, Foldable Aluminum Alloy Pushchair with Adjustable Canopy, 3D Shock Absorption PU Wheels (Light Grey)"
"Baby Trend","TS40B66B","Sophia","AIDYFMIJ1001",
"Evenflo","56012367","Salsa","AIDOBJ652001","Evenflo Pivot Modular Travel System with SafeMax Car Seat"
"Summer Infant","32883","Pink/Black","AID5XT781001","Summer Infant 3D Mini Convenience Stroller, Pink/Black"
"gb","619000535","Night Blue","AID2RKH52001","gb Pockit+ All City, Ultra Compact Lightweight Travel Stroller with Front Wheel Suspension, Full Canopy, and Reclining Seat in Night Blue"
"Baby Trend","TJ94203","Millennium Orange","AIDS5SF12001",
"Kolcraft","KL029-SLA1","Slate Grey","AIDTPY191001","Kolcraft Cloud Plus Lightweight Easy Fold Compact Travel Baby Stroller, Slate Grey"
"gb","618000797","Laguna Blue","AIDL8CWD1001","gb Pockit+ Lightweight Baby Stroller, Umbrella Stroller, Collapsible, Travel-Friendly, Folds into Backpack, Fits in Overhead Compartments, Reclining Seat, UPF50+ Sun Canopy, Laguna Blue"
"Chicco","06079761960070","Nottingham","AID5F6I71001","Chicco Bravo Trio Travel System with Full Size Stroller, Convertible Frame Stroller, One-Hand Compact Fold, Extendable Canopy and KeyFit 30 Infant Car Seat, Nottingham"
"gb","619000539","Night Blue","AIDSR9CA2001","gb Pockit Air All Terrain Ultra Compact Lightweight Travel Stroller with Breathable Fabric in Night Blue"
"Baby Trend","TJ75B13A","Rose","AID5TXJ22001","Baby Trend Cityscape Jogger Travel System, Rose"
"gb","616230017","Capri Blue","AID162WD1001","gb Pockit Ultra Compact Lightweight Travel Stroller in Capri Blue, The World's Smallest Folding Stroller"
"Chicco","07079095190070","Papyrus","AIDMYQG12001","Chicco Bravo Trio Travel System, Papyrus"
"Graco","2111213","Lanier","AIDISF022001","Graco Modes Element LX Travel System | Includes Baby Stroller with Reversible Seat, Extra Storage, Child Tray, One Hand Fold and SnugRide 35 Lite LX Infant Car Seat, Lanier"
"Baby Trend","TS40142","Paisley","AID4J7012001",
"Graco","1935095","Coconut","AIDSM2CA2001","Graco FastAction Fold Jogger XT Travel System | Includes the FastAction Fold XT Jogging Stroller and SnugRide 35 Infant Car Seat, Coconut"
"Baby Trend","TJ94312","Millennium White","AIDW0EP81001",
"BOB Gear","SN1001","Black","AID3YSJF1001","BOB Gear Snack Tray for Single Jogging Strollers, Black, One Size (SN1001)"
"Baby Trend","JG95522","Mosiac Blue","AIDFECNJ1001","Baby Trend Xcel Jogger Stroller, Mosiac Blue"
"Summer Infant","21930A","Black","AIDAGT781001",
"Graco","2111882","Gotham","AIDPRF022001","Graco Modes Element Stroller | Baby Stroller with Reversible Seat, Extra Storage, Child Tray, Gotham"
"Thule","10101924","Dark Shadow","AIDORXFA1001","Thule Urban Glide 2 Jogging Stroller , Dark Shadow"
"Dream On Me","364-NAVY","Navy","AID87VS72001","Dream On Me, Coast Rider Stroller Canopy, Navy"
"Graco","2111607","Pierce","AIDEQ7012001","Graco Modes Pramette Stroller, Baby Stroller with True Bassinet Mode, Reversible Seat, One Hand Fold, Extra Storage, Child Tray, Pierce"
"BOB Gear","S12104600","Black","AIDO77182001","BOB Gear Handlebar Console for Single Jogging Strollers"
"gb","618000775","Sapphire Blue","AIDR98CA2001","gb Pockit Plus 2018 Sapphire Blue"
"Baby Trend","DJ99C09B","Griffin","AID87Q471001","Baby Trend Expedition Double Jogger, Griffin"
"Joovy","8067","Black","AID44YG91001","Joovy Zoom 360 Ultralight Jogging Stroller, Large Canopy, Lightweight Jogger, Extra Large Air Filled Tires, Black"
"Graco",,,"AIDYRZH45001","Graco Ready2Grow"
"Baby Trend","TJ99181B","Centennial","AIDTGFK72001",
"Safety 1st","TR378EEK","Wisteria Lane","AID6J7012001",
"Baby Trend","TJ99106","Spartan","AIDFG6182001",
"Baby Trend","TS40949","Hounds Tooth","AID3Z2K81001",
"Baby Trend","TJ30509","Seaport","AIDZIXBA2001",
"Chicco","05079761210070","Meridian","AIDF6VS72001","Chicco Bravo Trio Travel System - Meridian, Brown"
"Graco","1968354","Janey","AIDKGY491001","Graco FastAction Fold Travel System | Includes FastAction Fold Stroller and SnugRide 30 Infant Car Seat, Janey"
"gb","616230037","Monument Black","AIDQIBCA2001","gb Pockit Lightweight Stroller with Travel Bag"
