brand,model,color,line,productGroup,baseTitle
"Char-Broil",,,,,"Char-Broil 463375919 Performance Stainless Steel 4-Burner Cabinet Style Liquid Propane Gas Grill"
"Cuisinart","CCG190","Portable Charcoal Grill, 14"", Black",,,"Cuisinart Charcoal Grill"
"AMERICAN GOURMET","463672717","Black",,,
"Weber","721001","Black",,,"Weber Smokey Mountain Cooker Charcoal Smoker"
"Weber","55020001","grey",,,"Weber Grill"
"Weber","10020","Black","Inch",,"Weber Smokey Joe Black"
"Masterbuilt","MB20073519","Black",,,"Masterbuilt Bluetooth Digital Electric Smoker"
"Camerons","CAM-STS-244","Silver",,,
"Goplus",,"Black",,,
"Finderomend",,,,,
"Kamado Joe","KJ15040921","Blaze Red",,,"Kamado Joe Charcoal inch Grill Blaze Red"
"Weber","121020","Black",,,
"Weber","14401001","Black",,,"Weber Original Kettle Premium Charcoal Grill 22-Inch Black"
"Z GRILLS","ZPG-450APRO","450 sq in Bronze with Thermometer",,,"Z GRILLS 2021 Upgrade Wood Pellet Grill Smoker 8 in 1 BBQ Auto Temperature Control Sq Bronze"
"Masterbuilt",,,,,"Masterbuilt MB20070210 Analog Electric Smoker with 3 Smoking Racks, 30 inch, Black MB20080319 Electric Smoker Cover, 30 inch, Black"
"Char-Broil","17202002-A1","Black",,,"Char-Broil Electric Smoker"
"George Foreman","GFO201RX","Red",,,"George Foreman Indoor Outdoor Electric Grill"
"Kamado Joe","KJ23NRHC","Blaze Red",,,
"Kamado Joe","KJ23RHC","red",,,
"Broilmann",,"black",,,
"MASTER COOK","Classic Liquid Propane Gas Grill","Black",,,
"Weber","1141001","Black",,,
"Char-Broil","17402049","Black",,,"Char-Broil Portable Grill"
"U-MAX",,"black",,,"U-MAX Propane Gas BBQ Outdoor"
"ISUMER","ISUMERBBQ01","Grey",,,
"Entsong",,,,,"Entsong Bucket"
"Cuisinart","COS-330","30"" Electric",,,
"Char-Broil","463370719","Stainless Steel",,,
"Masterbuilt","MB20041220","Black",,,"Masterbuilt MB20041220 Gravity Series 1050 Digital Charcoal Grill Smoker,"
"LIZZQ","AMNTS12","Stainless Steel 304",,,"LIZZQ Premium Pellet Smoker Tube 12 inches 5 Hours of Billowing Smoke for Any Grill or Hot Cold Smoking and Free eBook Grilling Ideas Recipes"
"Weber","441001","Black",,,"Weber Original 18 Kettle Black"
"Cuisinart","CGG-608","Professional Gas Grill, One-Burner, Stainless Steel",,,"Cuisinart Grill Stainless Steel"
"Weber","45030001","Red",,,"Weber Spirit II E-310 Grill"
"George Foreman","GGR50B","Silver",,,
"Smoak Firewood",,,,,"Smoak Firewood Cooking Wood Logs USDA Certified Kiln Dried"
"Megamaster","820-0065C","Red + Black",,,
"Char-Broil","20602107-01","Blue",,,"Char-Broil Patio Bistro TRU-Infrared Electric Grill"
"Weber","50060001","Chrome",,,
"Dyna-Glo","DGSS1382VCS-D","Black",,,"Dyna-Glo Signature Series DGSS1382VCS-D Heavy-Duty Vertical Offset Charcoal Smoker Grill"
"MVZAWINO",,"Square",,,"Pellet Smoker Tube for All Grill Electric Gas Charcoal or Smokers- 5 Hours of Billowing Smoke Cold Hot Smoking- Ideal Smoking Cheese Nuts Steaks Fish Pork Beef 12 Stainless Steel"
"Flame King","YSN5LB","White",,,"Flame King Propane Tank Cylinder Great for Fire Pits Grills Heaters Overlanding White"
"Kenmore","PG-4030400LD-MOCHA-AM","Mocha",,,"Kenmore 3 Burner Outdoor Patio Gas BBQ Propane Grill"
"Fire Sense","60450","Multicolor",,,"Fire Sense Yakatori Charcoal Grill"
"WADEO","WADEO",,,,
"Cuisinart",,,,,"Cuisinart CGG180 CGG-180 Petit Gourmet Gas Grill with VersaStand Red 31.5 H x 16.5 W 16 L"
"Weber","52020001","Gray",,,
"Traeger","TFB78GZEC","Bronze",,,"Traeger Pro 780 Grill"
"Weber","40020","Black",,,"Weber Grill"
"Megamaster","820-0033M","Stainless Steel",,,
"Camp Chef",,"black",,,"Camp Chef PG24MZG SmokePro Slide Smoker with Fold Down Front Shelf Wood Pellet Grill Pack of 1 Black"
"Royal Gourmet","GD401C","Black",,,
"Masterbuilt","SH19030819","Stainless Steel",,,"Masterbuilt Tabletop Grill"
"Weber","1211001","Black",,,
"ACETOP",,"Silver",,,
"Mann Lake","HD554",,,,
"ColourTree",,"Black",,,"Portable Folding Barbecue BBQ Charcoal Grill Black Lightweight Foldable For Camping Picnic Outdoor Travel"
"Blackstone","1825","black",,,"Blackstone Inch Flat Top Gas Station Propane Restaurant Grade Professional Outdoor Griddle"
"JY COOKMENT",,"Sliver",,,
"BNCHI",,"black",,,
"LavaLock","GL-1/2","charcoal",,,
"Napoleon","P500NSS-3","Stainless Steel",,,"Napoleon Prestige"
